msize	t_table	scotch	rdouble	ring	rsa	def	min	opt_alg	tt_pdif	s_pdif	opt_pdif
4	66.14	37.98	37.36	38.43	40.88	81.05	37.36	rdouble	0.183960518	0.53140037	0.539049969
8	64.61	40.7	37.65	36.88	35.84	68.26	35.84	rsa	0.053472019	0.403750366	0.474948725
16	67.48	36.7	35.58	37.34	36.71	66.41	35.58	rdouble	-0.016112031	0.447372384	0.464237314
32	67.67	37.2	36.41	42.91	35.93	75.55	35.93	rsa	0.104301787	0.507610854	0.524420913
64	66.43	36.94	36.16	37.13	45.01	72.37	36.16	rdouble	0.082078209	0.4895675	0.500345447
128	41.2	44.71	39.92	41.55	38.26	54.26	38.26	rsa	0.24069296	0.176004423	0.29487652
256	51.36	40.36	39.6	39.09	40.23	62.2	39.09	ring	0.174276527	0.351125402	0.371543408
512	61.52	43.98	41.57	174.67	61.19	64.15	41.57	rdouble	0.040997662	0.31441933	0.351987529
1024	48.37	45.5	42.43	199.38	51.33	53.47	42.43	rdouble	0.095380587	0.149055545	0.206470918
2048	175.27	534.94	50.05	181.9	53.05	371.36	50.05	rdouble	0.528032098	-0.440489013	0.865225118
4096	198.2	494.92	67.29	206.74	65.82	375.98	65.82	rsa	0.4728443	-0.316346614	0.824937497
8192	209.58	537.91	100.47	211	85.27	396.59	85.27	rsa	0.47154492	-0.35633778	0.784992057
16384	136.27	437.93	131.91	251	88.52	213	88.52	rsa	0.360234742	-1.05600939	0.584413146
32768	257.51	540.45	228.6	302.09	133.19	262.38	133.19	rsa	0.018560866	-1.059798765	0.492377468
65536	458.79	676.05	419.95	393.34	211.62	475.46	211.62	rsa	0.035060783	-0.421886173	0.55491524
131072	840.86	999.67	843.59	596.96	357.12	759.33	357.12	rsa	-0.107370972	-0.316515876	0.529690648
262144	647.54	863.77	1699.58	840.39	681.06	713.62	681.06	rsa	0.092598302	-0.210406098	0.045626524
524288	1223.88	1750.17	3347.96	1435.86	1215.05	1377.38	1215.05	rsa	0.111443465	-0.270651527	0.117854187
1048576	2443.25	3417.2	6679.31	2646.18	2452.44	2754.88	2452.44	rsa	0.113119265	-0.240417005	0.109783366
2097152	4522.16	6370.63	13008.01	4550.21	4843.75	5041.43	4550.21	ring	0.103000538	-0.263655352	0.09743664
4194304	8672.56	12500.83	26825.69	8287.19	8635.24	9756.82	8287.19	ring	0.111128421	-0.281240199	0.150625921
8388608	17336.25	24633.64	56775.59	16333.53	17254	18921.98	16333.53	ring	0.083803598	-0.301853189	0.136795938
16777216	34115.29	49167.49	115966.17	32176.55	33890.1	37617.71	32176.55	ring	0.093105614	-0.307030385	0.144643573
33554432	75904.46	110125.44	234527.49	81941.12	75172.64	85020.31	75172.64	rsa	0.107219675	-0.295283915	0.115827265
67108864	152639.59	220643.57	472372.16	159114.26	152998.96	174285.23	152998.96	rsa	0.12419664	-0.265991215	0.122134675
134217728	332307.47	448702.58	946860.97	338413.9	332273.74	408832.54	332273.74	rsa	0.187179499	-0.097521689	0.187262002
268435456	774869.38	970750.58	1899564.91	788351.39	774539.78	900771.85	774539.78	rsa	0.139771764	-0.077687519	0.140137672
