wsize	t_table	scotch	rdouble	ring	rsa	def	min	opt_alg	tt_pdif	s_pdif	opt_pdif
32	150734.48	167183.8	282070.78	156228.31	150690.26	150800.89	150690.26	rsa	0.000440382	-0.108639346	0.000733616
64	149596.74	181112.93	346141.31	156341.53	149677.19	149678.3	149677.19	rsa	0.000544902	-0.210014611	7.4159E-06
128	152627.99	212250.35	471716	159109.38	152943.8	151859.34	152943.8	rsa	-0.005061592	-0.397677285	-0.007141214
