nproc wsize rsa ring rdouble remap scotch def
1024 32 365180.89	354903.6	3083143.8	370072.58	nan 381392.57
2048 64	365968.36	342809.48	4684245.42	342809.48	1589815.75	379593.16
4096 128 374281.18 354798.34 8410957.25 354798.34 2298439.47 379134.35

