msize	t_table	scotch	bintree	knomial	scag	def	min	opt_alg	tt_pdif	s_pdif	opt_pdif
1	11.14	11.55	11.01	10.69	22.56	11.18	10.69	knomial	0.003577818	-0.033094812	0.043828265
2	15.37	15.62	16.78	15.8	37.7	18.66	15.8	knomial	0.176312969	0.162915327	0.153269025
4	15.15	15.47	16.52	16.35	38.35	15.59	16.35	knomial	0.02822322	0.007697242	-0.048749198
8	15.21	15.64	16.85	15.81	37.68	15.53	15.81	knomial	0.02060528	-0.007083065	-0.01802962
16	10.65	11.22	10.88	10.65	22.5	11.42	10.65	knomial	0.067425569	0.017513135	0.067425569
32	10.9	11	11.25	10.66	30.89	11.14	10.66	knomial	0.021543986	0.012567325	0.043087971
64	14.73	13.59	15.3	13.07	31.45	14.25	13.07	knomial	-0.033684211	0.046315789	0.082807018
128	14.74	14.25	16.32	13.32	33.05	14.15	13.32	knomial	-0.041696113	-0.007067138	0.058657244
256	15.5	14.7	17.52	13.3	33.97	14.63	13.3	knomial	-0.059466849	-0.004784689	0.090909091
512	20.08	19.06	24.18	18.33	32.67	20.1	18.33	knomial	0.000995025	0.051741294	0.088059701
1024	26.4	27.54	34.06	23.67	45.85	25.24	23.67	knomial	-0.045958796	-0.091125198	0.062202853
2048	40.02	50.15	57.48	38.98	57.2	80.79	38.98	knomial	0.504641664	0.379254858	0.517514544
4096	67.78	93.46	103.65	72.03	88.58	153.73	72.03	knomial	0.559097118	0.392050999	0.531451246
8192	125.64	166.12	195.26	128.57	152.21	287.99	128.57	knomial	0.563734852	0.423174416	0.553560888
16384	175.58	313.63	189.03	170.88	287.56	437.53	170.88	knomial	0.598701803	0.283180582	0.609443924
32768	340.3	644.96	371.23	342.33	551.92	888.71	342.33	knomial	0.617085438	0.274273948	0.614801229
65536	654.21	1269.14	720.3	675.04	1097.31	1769.87	675.04	knomial	0.630362682	0.282919084	0.618593456
131072	1305.25	2575.46	1421.79	1329.93	2231.14	3626.89	1329.93	knomial	0.640118669	0.289898508	0.633313941
262144	2612.11	5166.84	2825.44	2647.33	4492.36	7319.89	2647.33	knomial	0.643149009	0.294136934	0.638337461
524288	5210.64	10239.38	5601.01	5270.51	5125.61	14574.72	5125.61	scag	0.642487815	0.297456143	0.648321889
1048576	530.12	1109.35	686.21	530.83	5844.03	1590.36	530.83	knomial	0.666666667	0.302453533	0.666220227
2097152	876.96	2041.59	1255.98	871.59	5834.02	2995.48	871.59	knomial	0.707238907	0.318443121	0.709031608
4194304	1644.84	3980.29	2234.81	1639.12	5153.68	5832.55	1639.12	knomial	0.717989559	0.317572931	0.718970262
8388608	3277.98	7837.13	4229.64	3255.01	3504.48	11995.64	3255.01	knomial	0.726735714	0.346668456	0.728650576
16777216	6682.15	16487.35	8170.4	6684.85	6269.26	25531.02	6269.26	scag	0.738273285	0.354222824	0.754445377
33554432	13544.34	33735.27	16405.35	13461.38	11243.88	55134.51	11243.88	scag	0.754340068	0.388127871	0.79606457
67108864	27220.13	68623.04	33447.62	27300.45	21608.86	113773.05	21608.86	scag	0.760750635	0.39684275	0.810070487
134217728	54970.03	138144.73	67743.2	54888.91	41914.44	229819.77	41914.44	scag	0.76081244	0.398899712	0.81762039
268435456	110749.72	302511.77	136744.83	110730.08	82052.41	462855.5	82052.41	scag	0.760725064	0.346422868	0.822725645
