msize	t_table	scotch	rdouble	ring	rsa	def	min	opt_alg	tt_pdif	s_pdif	opt_pdif
4	36.05	45.12	37.57	38.94	36.7	37.06	36.7	rsa	0.027253103	-0.217485159	0.009713977
8	37.16	38.3	35.63	35.62	36.3	35.11	35.62	ring	-0.058387924	-0.090857306	-0.014525776
16	36.46	40	34.82	36.5	35.62	38.86	34.82	rdouble	0.061760165	-0.029336078	0.103962944
32	37.27	38.05	34.89	37.66	35.3	35.16	34.89	rdouble	-0.060011377	-0.082195677	0.007679181
64	35.87	38.23	38.13	37.92	36.07	37.71	36.07	rsa	0.048793423	-0.013789446	0.043489791
128	36.98	39.72	35.55	37.49	39.99	36.1	35.55	rdouble	-0.024376731	-0.100277008	0.015235457
256	37.12	44.26	36.91	100.85	44.9	38.16	36.91	rdouble	0.027253669	-0.159853249	0.032756813
512	105.11	242.81	38.37	103.78	49.71	103.96	38.37	rdouble	-0.011061947	-1.33560985	0.630915737
1024	103.31	246.85	40.44	106.8	46.77	103.96	40.44	rdouble	0.006252405	-1.37447095	0.611004232
2048	133.27	248.09	46.23	128.22	51.91	130.26	46.23	rdouble	-0.023107631	-0.904575464	0.645094427
4096	117.68	255.29	55.08	121.12	68.92	121.03	55.08	rdouble	0.027679088	-1.109311741	0.544906222
8192	73.9	83.69	79.01	134.9	81	73.59	79.01	rdouble	-0.004212529	-0.137246909	-0.073651311
16384	114.6	115.86	122.46	161.44	87.03	109.1	87.03	rsa	-0.050412466	-0.061961503	0.202291476
32768	183.74	184.15	181.39	204.38	128.13	170.98	128.13	rsa	-0.074628612	-0.077026553	0.250614107
65536	334.33	325.03	344.82	278.32	203.16	301.57	203.16	rsa	-0.108631495	-0.077792884	0.326325563
131072	654.8	599.7	652.39	436.69	350.51	570.58	350.51	rsa	-0.147604192	-0.051035788	0.385695257
262144	648.52	712.76	1261.35	748.83	687.63	651.27	687.63	rsa	0.004222519	-0.094415527	-0.05582938
524288	1226.52	1503.81	2510.33	1356.29	1253.71	1230.39	1253.71	rsa	0.003145344	-0.222222222	-0.01895334
1048576	2536.03	2852.17	4945.56	2524.17	2466.53	2484.68	2466.53	rsa	-0.020666645	-0.147902346	0.007304764
2097152	4512	5200.89	9512.51	4480.65	4524.66	4547.46	4480.65	ring	0.00779776	-0.143691203	0.014691718
4194304	8711.74	9959.45	19484.29	8411.06	8692.32	8714.57	8411.06	ring	0.000324744	-0.142850422	0.03482788
8388608	17249.77	19631.71	41251.17	16689.42	17325.38	17164.01	16689.42	ring	-0.004996501	-0.143771764	0.027650299
16777216	34282.04	39413.28	85760.1	34867.52	33889.91	34252.59	33889.91	rsa	-0.000859789	-0.150665687	0.010588396
33554432	74416.53	88670.04	171245.05	77819.86	74297.05	74245.91	74297.05	rsa	-0.002298039	-0.194275079	-0.000688792
67108864	149596.74	181112.93	346141.31	156341.53	149677.19	149678.3	149677.19	rsa	0.000544902	-0.210014611	7.4159E-06
134217728	294006.8	356409.86	689338.53	310516.83	293651.09	294100.62	293651.09	rsa	0.000319006	-0.211863681	0.00152849
268435456	581690.67	709294.14	1374635.54	630840.15	581586.1	582162.31	581586.1	rsa	0.000810152	-0.218378668	0.000989776
