msize	t_table	scotch	rdouble	ring	rsa	def	min	opt_alg	tt_pdif	s_pdif	opt_pdif
4	35.79	34.93	33.99	35.29	34.21	34.8	33.99	rdouble	-0.028448276	-0.003735632	0.023275862
8	33.61	35.47	33.44	33.11	33.75	34.11	33.11	ring	0.014658458	-0.039871006	0.029316916
16	34.08	35.42	34.28	33.95	34.7	34.19	33.95	ring	0.003217315	-0.035975431	0.007019596
32	34.99	36.36	34.69	37.07	34.92	34.72	34.69	rdouble	-0.007776498	-0.047235023	0.000864055
64	35.1	35.89	35.14	35.06	35.18	35.17	35.06	ring	0.001990333	-0.020471993	0.003127666
128	41.12	45.6	35.65	74.33	43.19	41.07	35.65	rdouble	-0.001217434	-0.110299489	0.131969808
256	41.16	48.23	37.05	74.23	43.69	42.7	37.05	rdouble	0.036065574	-0.129508197	0.132318501
512	45.97	49.5	37.69	75.21	45.59	43.12	37.69	rdouble	-0.06609462	-0.147959184	0.125927644
1024	46.41	49.89	39.89	91.74	45.18	46.01	39.89	rdouble	-0.008693762	-0.084329494	0.133014562
2048	49.43	53.74	44.47	97.26	48.78	50.63	44.47	rdouble	0.023701363	-0.061426032	0.121666996
4096	56.13	61.43	53.38	101.53	57.21	54.28	53.38	rdouble	-0.034082535	-0.131724392	0.016580693
8192	69.78	75.19	70.45	112.91	71.18	67.18	70.45	rdouble	-0.038701995	-0.119231914	-0.048675201
16384	82.85	92.47	103.81	134.39	82.92	90.55	82.92	rsa	0.085035892	-0.021203755	0.084262838
32768	123.55	129.16	159.38	174.49	122.99	130.97	122.99	rsa	0.056654196	0.013819959	0.060929984
65536	200.7	207.41	282.45	261.54	200.55	215.29	200.55	rsa	0.067769056	0.036601793	0.06846579
131072	355.65	361.07	531.36	429.84	351.2	378.11	351.2	rsa	0.059400703	0.045066251	0.071169765
262144	654.59	670.31	1110.88	726.73	654.17	695.76	654.17	rsa	0.059172703	0.036578705	0.05977636
524288	1258.51	1339.85	2181.98	1350.2	1257.4	1243.96	1257.4	rsa	-0.011696518	-0.077084472	-0.010804206
1048576	2503.11	2572.52	4262.02	2589.8	2522.98	2531.41	2522.98	rsa	0.01117954	-0.016239961	0.00333016
2097152	4494.07	4673.88	8045.56	4657.91	4532.22	4623.23	4532.22	rsa	0.027937178	-0.010955544	0.019685371
4194304	8483.92	8945.68	15506.22	8846.25	8476.22	8606.32	8476.22	rsa	0.014222107	-0.039431488	0.015116798
8388608	16883.32	17601.52	32295.11	17683.29	16783.7	16574.6	16783.7	rsa	-0.018626091	-0.061957453	-0.012615689
16777216	33474.12	34955.68	66991.59	34701.09	33631.26	32961.57	33631.26	rsa	-0.015549927	-0.060498028	-0.020317297
33554432	73889.77	81924.9	140589.64	77859.2	73836.56	74010.48	73836.56	rsa	0.001630985	-0.106936477	0.002349937
67108864	151284.76	167032.08	284478.18	157522.88	150490.99	151743.12	150490.99	rsa	0.003020631	-0.10075554	0.008251643
134217728	299331.9	331037.42	565226.17	311281.25	299189.71	299873	299189.71	rsa	0.001804431	-0.103925395	0.002278598
268435456	596718.12	659758.39	1128679.77	629678.23	596077.86	597412.37	596077.86	rsa	0.001162095	-0.104360109	0.002233817
