msize mif0.00_bkpap_seg_size4194304_ucc_en0_ucc_tlsall_bkpap_alg0_avg_lat mif0.00_bkpap_seg_size134217728_ucc_en0_ucc_tlsall_bkpap_alg0_avg_lat mif0.00_bkpap_seg_size4194304_ucc_en0_ucc_tlsall_bkpap_alg4_avg_lat mif0.00_bkpap_seg_size4194304_ucc_en1_ucc_tlsucp_bkpap_alg6_avg_lat mif0.00_bkpap_seg_size4194304_ucc_en1_ucc_tlsall_bkpap_alg6_avg_lat mif0.00_wsize32_ppn4_avg_lat mif2.00_bkpap_seg_size4194304_ucc_en0_ucc_tlsall_bkpap_alg0_avg_lat mif2.00_bkpap_seg_size134217728_ucc_en0_ucc_tlsall_bkpap_alg0_avg_lat mif2.00_bkpap_seg_size4194304_ucc_en0_ucc_tlsall_bkpap_alg4_avg_lat mif2.00_bkpap_seg_size4194304_ucc_en1_ucc_tlsucp_bkpap_alg6_avg_lat mif2.00_bkpap_seg_size4194304_ucc_en1_ucc_tlsall_bkpap_alg6_avg_lat mif2.00_wsize32_ppn4_avg_lat mif6.00_bkpap_seg_size4194304_ucc_en0_ucc_tlsall_bkpap_alg0_avg_lat mif6.00_bkpap_seg_size134217728_ucc_en0_ucc_tlsall_bkpap_alg0_avg_lat mif6.00_bkpap_seg_size4194304_ucc_en0_ucc_tlsall_bkpap_alg4_avg_lat mif6.00_bkpap_seg_size4194304_ucc_en1_ucc_tlsucp_bkpap_alg6_avg_lat mif6.00_bkpap_seg_size4194304_ucc_en1_ucc_tlsall_bkpap_alg6_avg_lat mif6.00_wsize32_ppn4_avg_lat mif10.00_bkpap_seg_size4194304_ucc_en0_ucc_tlsall_bkpap_alg0_avg_lat mif10.00_bkpap_seg_size134217728_ucc_en0_ucc_tlsall_bkpap_alg0_avg_lat mif10.00_bkpap_seg_size4194304_ucc_en0_ucc_tlsall_bkpap_alg4_avg_lat mif10.00_bkpap_seg_size4194304_ucc_en1_ucc_tlsucp_bkpap_alg6_avg_lat mif10.00_bkpap_seg_size4194304_ucc_en1_ucc_tlsall_bkpap_alg6_avg_lat mif10.00_wsize32_ppn4_avg_lat mif20.00_bkpap_seg_size4194304_ucc_en0_ucc_tlsall_bkpap_alg0_avg_lat mif20.00_bkpap_seg_size134217728_ucc_en0_ucc_tlsall_bkpap_alg0_avg_lat mif20.00_bkpap_seg_size4194304_ucc_en0_ucc_tlsall_bkpap_alg4_avg_lat mif20.00_bkpap_seg_size4194304_ucc_en1_ucc_tlsucp_bkpap_alg6_avg_lat mif20.00_bkpap_seg_size4194304_ucc_en1_ucc_tlsall_bkpap_alg6_avg_lat mif20.00_wsize32_ppn4_avg_lat
1048576 1101.84 1074 818.36 593.85 679.43 2498.35 1483.53 1507.44 1441.12 1313.81 1313.82 2684.38 2287.51 2286.76 2834.94 2496.61 2618.75 4020.63 3296.13 3254.31 4145.28 3854.92 4019.4 5211.51 5714.22 5676.98 7673.37 7101.02 7188.34 8443.02
2097152 1542.04 1465.61 1240.01 913.22 888.74 4428.08 1661.21 1655.9 1536.79 1352.87 1183.88 4550.53 2034.23 2046.36 2262.28 1903.53 1904.44 4660.76 2600.46 2464.34 2941.51 2583.27 2671.01 5404.96 3597.65 3620.32 4949.68 4355.55 4461.97 6916.21
4194304 2355.41 2298.33 2096.35 1535.17 1314.05 8417.94 2624.16 2591.07 2559.64 2225.11 1697.21 8225.45 3202.77 3198.96 3681.69 3138.36 2760.86 8869.83 3886.03 3836.76 4663.9 4023.51 3978.75 9586.82 5657.9 5522.55 7606.99 6728.81 6606.8 12378.79
8388608 10844.54 4050.04 3413.75 2873.06 1928.56 17402.89 11162.1 4660.24 4421.91 4237.71 2731.53 16713.35 11819.44 5712.85 6358.28 5527.71 4611.34 18093.61 13638.71 6856.58 8293.37 7479.56 6864.18 19724.36 15997.8 9986.53 13385.92 12030.58 11931.91 23672.38
16777216 19860.61 7823.92 5937.5 5000.98 3785.75 34156.11 19382.2 9003.24 7629.76 7564.41 5041.26 33770.84 21126.1 11039.91 11082.47 10064.46 8558.62 35215.53 24644.16 13045.67 14493.72 13720.99 12127.55 38355.99 28648.37 18630.77 24256.84 21984.09 21357.4 46500.84
33554432 37186.4 15444.5 10426.86 9219.61 6949.21 78316.51 36652.53 17547.05 14578.87 13963.23 10561.7 79103.03 38902.23 21802.8 21291.66 19711.59 17604.65 84363.63 44805.85 25665.12 28489.87 26637.15 25251.23 90824.7 55329.62 37224.88 49006.67 43822.78 42791.41 109193.1
67108864 71631.25 31548.86 19871.31 17659.13 13318.61 161739.14 77391.16 36143.64 28137.39 26985.62 20208.91 166825.38 80887.56 44833.32 43404.24 37810.04 36136.79 182349.73 92784.52 53539.14 57016.4 54335.84 51100.93 194774.13 112974.08 77534.75 99166.7 88619.37 92549.83 231838.49
134217728 153710.03 67010.42 38399.84 34429.34 25321.69 319282.8 162208.12 78452 56417.12 48998.38 40671.54 331901.41 169974.73 95159.76 89525.18 80510.06 73929.68 361770.41 183509.63 113840.16 120256.63 113201.46 106435.26 393253.37 232869.45 164475.49 206523.09 189265.28 196296.4 474333.3
