msize socket_disabled0_alg6_scotch0 socket_disabled0_alg4_scotch0 socket_disabled0_alg3_scotch0 socket_disabled0_alg0_scotch0 socket_disabled1_alg0_scotch0 core_disabled0_alg6_scotch0 core_disabled0_alg4_scotch0 core_disabled0_alg3_scotch0 core_disabled0_alg0_scotch0 core_disabled1_alg0_scotch0 node_disabled0_alg6_scotch0 node_disabled0_alg4_scotch0 node_disabled0_alg3_scotch0 node_disabled0_alg0_scotch0 node_disabled1_alg0_scotch0 
4 134.98 134.48 161.62 95.19 102.52 135.29 133.85 159.81 93.11 108.49 112.15 112.19 135.11 116.72 131.75
8 164.64 164.04 205.04 86.46 95.06 167.16 164.29 212.4 87.71 94.74 127.83 142.38 167.02 140.06 116.95
16 132.43 133.42 160.92 129.73 94.41 134.29 132.69 158.72 124.96 93.19 107.63 110.06 133.46 97.42 139.02
32 131.76 132.84 162.4 89.77 125.34 133.8 132.55 160.73 90.88 119.5 106.58 110.27 134.39 98.56 119.58
64 132.62 133.62 162.21 89.14 96.76 133.47 132.93 160.64 89.76 95.52 107.19 109.16 134.66 98.63 120.14
128 136.29 136.9 166.49 95.43 98.67 137.46 137.54 164.43 95.44 97.94 110.07 112.67 138.79 103.28 124.41
256 148.59 147.98 182.22 105.65 106.04 147.88 150.29 179.51 103.32 105.1 116.28 118.54 153.42 119.96 141.66
512 153.5 172.75 188.84 109.67 109.07 152.09 153.86 190.55 107.44 109.32 128.94 123.51 162.15 128.42 150.01
1024 160.12 167.57 210.22 118.47 117.03 167.78 167.49 200.88 114.41 116.3 127.86 140.03 185.17 148.4 169.84
2048 190.95 177.3 233.41 230.72 179.12 190.26 193.97 229.03 230.16 177.68 147.62 148.33 215.23 214.45 219.61
4096 320.38 9004.2 372.17 358.33 277.81 318.2 9030.98 355.42 354.73 270.87 281.9 9118.82 361.88 358.97 366.83
8192 329.95 8982.26 609.41 601.35 474.69 325.01 9006.7 581.33 581.53 436.6 285.96 9100.92 606.57 598.31 601.37
16384 351.32 9406.89 1046.33 351.54 362.8 346.23 9527.07 994.56 348.53 361.09 302.7 11086.37 1051.44 359.95 510.6
32768 377.25 9355.24 1901.19 425.2 409.82 372.58 9358.51 1804.03 416.39 384.62 328.98 9690.92 1948.86 329.72 755.64
65536 423.89 9240.26 3641.07 434.85 599.79 424.98 9179.67 3456.89 442.95 428.36 382.13 9787.91 3698.64 382.67 1245.53
131072 519.6 9892.47 7160.07 552.32 649.96 520.65 9906 6828.29 586.71 576.52 496.12 9954.93 7144.6 489 2217.73
262144 769.11 10017.92 15423.44 768.29 1046.87 765.43 9434.44 14542.08 802.19 942.68 738.42 9954.32 15104.83 750.09 4138.19
524288 1312.82 10787.79 30768.66 1307.67 1655.49 1316.33 10326.55 28888.46 1319.89 1318.45 1266.38 12795.9 29969.87 1269.55 8590.03
1048576 2650.56 12066.77 62117.95 2467.26 3099.23 2551.56 11656.84 58112.64 2438.42 2431.67 2521.68 12539.96 60587.68 2441.95 17215.57
2097152 5371.99 15714.88 126790.05 5067.87 6279.22 5122.69 15070.8 120108.81 5041.15 5007.29 5282.4 15778.37 123469.03 5043.19 34398.78
4194304 10417.38 22410.63 257256.36 10314.11 12329.79 10503.77 22052.54 246501.08 10334.09 10722.75 10464.54 22742.22 250705.57 10434.4 69751.1
8388608 21356.02 42268.14 524526.23 21478.84 24182.09 21248.62 41863.87 503677.28 21576.46 21202.76 21208.29 42926.48 511269.24 21304.15 143606.77
16777216 42656.28 68865.6 1056589.65 42598.54 48838 42397.05 66861.13 1019960.63 42529.72 42831.65 42516.98 68493.98 1038357.22 42744.96 294898.42
33554432 88597.12 124638.48 2142379.35 88310.12 100837.28 88069.76 121123.92 2044237.18 88118.03 88270.75 88338.89 126405.25 2088951.88 88687.19 620945.79
67108864 178298.98 240241.62 4300344.09 178223.63 204219.17 187464.72 234065.8 4117964.42 177952.88 179767.17 179314.25 243251.87 4211654.54 180480.79 1262625.31
